pmid,paragraph,abstract,label,registry,trn
29486734,4,"In our study, breast tumors of women with pre-existing diabetes did not show an altered expression of selected PI3K/MAPK pathway-related proteins. We observed an association between insulin treatment and increased p-mTOR and IGF1R expression of breast tumors, especially in premenopausal women. This observation, if confirmed, might be clinically relevant since the use of IGF1R and mTOR inhibitors are currently investigated in clinical trials.",CONCLUSIONS,NA,NA
29492652,1,To describe the relationship between changes of cortico-spinal excitability and motor recovery of the affected hand after stroke.,OBJECTIVE,NA,NA
29492652,2,Eighteen hemiparetic stroke patients with a severe-to-mild upper limb motor impairment were randomized. Cortico-spinal excitability measures (resting motor thresholds and motor evoked potentials) obtained from a distal (abductor pollicis brevis) and proximal (biceps brachii) upper limb muscle were assessed for both hemispheres. Motor function of the affected hand was tested by the Wolf Motor Function and Action Research Arm tests. The evaluations were performed at baseline and weekly over 7 weeks of in-patient neurological rehabilitation.,METHODS,NA,NA
29492652,3,Severe hand dysfunction was associated with a strong suppression of ipsilesional cortico-spinal excitability and a shift of excitability towards the contralesional hemisphere. Mild hand impairment was associated with a shift of cortico-spinal excitability towards the ipsilesional hemisphere. Favorable motor recovery correlated with an increase of ipsilesional cortico-spinal excitability.,RESULTS,NA,NA
29502397,1,"The concentration of prostate-specific antigen (PSA) in serum is used as an early detection method of prostate cancer (PCa); however, it shows low sensitivity, specificity, and a poor predictive value. Initial studies suggested the glycosylation of PSA to be a promising marker for a more specific yet noninvasive PCa diagnosis. Recent studies on the molecular features of PSA glycosylation (such as antenna modification and core fucosylation) were not successful in demonstrating its potential for an improved PCa diagnosis, probably due to the lack of analytical sensitivity and specificity of the applied assays. In this study, we established for the first time a high-performance PSA Glycomics Assay (PGA), allowing differentiation of α2,6- and α2,3-sialylated isomers, the latter one being suggested to be a hallmark of aggressive types of cancer. After affinity purification from urine and tryptic digestion, PSA samples were analyzed by CE-ESI-MS (capillary electrophoresis-electrospray ionization coupled to mass spectrometry). Based on positive controls, an average interday relative standard deviation of 14% for 41 N-glycopeptides was found. The assay was further verified by analyzing PSA captured from patients' urine samples. A total of 67 N-glycopeptides were identified from the PSA pooled from the patients. In summary, the first PGA successfully established in this study allows an in-depth relative quantitation of PSA glycoforms from urine. The PGA is a promising tool for the determination of potential glycomic biomarkers for the differentiation between aggressive PCa, indolent PCa, and benign prostate hyperplasia in larger cohort studies.",NA,NA,NA
29510747,1,"Recent evidence derived from functional magnetic resonance imaging (fMRI) studies suggests that functional hubs (i.e., highly connected brain regions) are important for mental health. We found recently that global connectivity of a hub in the left frontal cortex (LFC connectivity) is associated with relatively preserved memory abilities and higher levels of protective factors (education, IQ) in normal aging and Alzheimer's disease. These results suggest that LFC connectivity supports reserve capacity, alleviating memory decline. An open question, however, is why LFC connectivity is beneficial and supports memory function in the face of neurodegeneration. We hypothesized that higher LFC connectivity is associated with enhanced efficiency in connected major networks involved in episodic memory. We further hypothesized that higher LFC-related network efficiency predicts higher memory abilities.",BACKGROUND,NA,NA
29510747,2,"We assessed fMRI during a face-name association learning task performed by 26 healthy, cognitively normal elderly participants. Using beta-series correlation analysis, we computed task-related LFC connectivity to key memory networks, including the default mode network (DMN) and dorsal attention network (DAN). Network efficiency within the DMN and DAN was estimated by the graph theoretical small-worldness statistic. We applied linear regression analyses to test the association between LFC connectivity with the DMN/DAN and small-worldness of these networks. Mediation analysis was applied to test LFC connectivity to the DMN and DAN as a mediator of the association between education and higher DMN and DAN small-worldness. Last, we tested network small-worldness as a predictor of memory performance.",METHODS,NA,NA
29510747,3,"We found that higher LFC connectivity to the DMN and DAN during successful memory encoding and recognition was associated with higher small-worldness of those networks. Higher task-related LFC connectivity mediated the association between education and higher small-worldness in the DMN and DAN. Further, higher small-worldness of these networks predicted better performance in the memory task.",RESULTS,NA,NA
29510747,4,The present results suggest that higher education-related LFC connectivity to key memory networks during a memory task is associated with higher network efficiency and thus enhanced reserve of memory abilities in aging.,CONCLUSIONS,NA,NA
29511064,1,"Innate lymphoid cells (ILCs) are abundant in mucosal tissues and involved in tissue homeostasis and barrier function. Although several ILC subsets have been identified, it is unknown if additional heterogeneity exists, and their differentiation pathways remain largely unclear. We applied mass cytometry to analyze ILCs in the human fetal intestine and distinguished 34 distinct clusters through a t-SNE-based analysis. A lineage (Lin)-CD7+CD127-CD45RO+CD56+ population clustered between the CD127+ ILC and natural killer (NK) cell subsets, and expressed diverse levels of Eomes, T-bet, GATA3, and RORγt. By visualizing the dynamics of the t-SNE computation, we identified smooth phenotypic transitions from cells within the Lin-CD7+CD127-CD45RO+CD56+ cluster to both the NK cells and CD127+ ILCs, revealing potential differentiation trajectories. In functional differentiation assays, the Lin-CD7+CD127-CD45RO+CD56+CD8a- cells could develop into CD45RA+ NK cells and CD127+RORγt+ ILC3-like cells. Thus, we identified a previously unknown intermediate innate subset that can differentiate into ILC3 and NK cells.",NA,NA,NA
29514134,1,"Survival predictors are of potential use for informing on biological age and targeting prevention of aging-related morbidity. We assessed associations of 2 novel methylomic survival indicators, a methylation-based mortality risk score (MRscore) and the epigenetic clock-derived age acceleration (AA), with a well-known survival predictor, frailty index (FI), and compared the 3 indicators in mortality prediction. In a large population-based cohort with 14-year follow-up, we found both MRscore and AA to be independently associated with FI, but the association was much stronger for MRscore than for AA. Although all 3 indicators were individually associated with all-cause mortality, robust associations only persisted for MRscore and FI when simultaneously including the 3 indicators in regression models, with hazard ratios (95% CI) of 1.91 (1.63-2.22), 1.37 (1.25-1.51), and 1.05 (0.90-1.22), respectively, per standard deviation increase of MRscore, FI, and AA. Prediction error curves, Harrell's C-statistics, and time-dependent AUCs all showed higher predictive accuracy for MRscore than for FI and AA. These findings were validated in independent samples. Our study demonstrates the ability of the MRscore to strongly enhance survival prediction beyond established markers of biological age, such as FI and AA, and it thus bears potential of a surrogate endpoint for clinical research and intervention.",NA,NA,NA
29534768,1,"Vaccination programmes are considered a main contributor to the decline of infectious diseases over the 20th century. In recent years, the national vaccination coverage in the Netherlands has been declining, highlighting the need for continuous monitoring and evaluation of vaccination programmes. Our aim was to quantify the impact of long-standing vaccination programmes on notified cases in the Netherlands. We collected and digitised previously unavailable monthly case notifications of diphtheria, poliomyelitis, mumps and rubella in the Netherlands over the period 1919-2015. Poisson regression models accounting for seasonality, multi-year cycles, secular trends and auto-correlation were fit to pre-vaccination periods. Cases averted were calculated as the difference between observed and expected cases based on model projections. In the first 13 years of mass vaccinations, case notifications declined rapidly with 82.4% (95% credible interval (CI): 74.9-87.6) of notified cases of diphtheria averted, 92.9% (95% CI 85.0-97.2) cases of poliomyelitis, and 79.1% (95% CI 67.1-87.4) cases of mumps. Vaccination of 11-year-old girls against rubella averted 49.9% (95% CI 9.3-73.5) of cases, while universal vaccination averted 68.1% (95% CI 19.4-87.3) of cases. These findings show that vaccination programmes have contributed substantially to the reduction of infectious diseases in the Netherlands.",NA,NA,NA
29535207,1,"Dental diseases are among the most frequent diseases globally and tooth loss imposes a substantial burden on peoples' quality of life. Non-experimental evidence suggests that individuals with more children have more missing teeth than individuals with fewer children, but until now there is no causal evidence for or against this.",BACKGROUND,NA,NA
29535207,2,"Using a Two-Stage Least Squares (2SLS) instrumental variables approach and large-scale cross-sectional data from the Survey of Health, Ageing, and Retirement in Europe (study sample: 34 843 non-institutionalised individuals aged 50+ from 14 European countries and Israel; data were collected in 2013), we investigated the causal relationship between the number of biological children and their parents' number of missing natural teeth. Thereby, we exploited random natural variation in family size resulting from (i) the birth of multiples vs singletons, and (ii) the sex composition of the two first-born children (increased likelihood of a third child if the two first-born children have the same sex).",METHODS,NA,NA
29535207,3,2SLS regressions detected a strong causal relationship between the number of children and teeth for women but not for men when an additional birth occurred after the first two children had the same sex. Women then had an average of 4.27 (95% CI: 1.08 to 7.46) fewer teeth than women without an additional birth whose first two children had different sexes.,RESULTS,NA,NA
29535207,4,This study provides novel evidence for causal links between the number of children and the number of missing teeth. An additional birth might be detrimental to the mother's but not the father's oral health.,CONCLUSIONS,NA,NA
29543531,1,"The inflammatory cytokine macrophage migration-inhibitory factor (MIF) promotes atherosclerosis via lesional monocyte and T-cell recruitment. B cells have emerged as important components in atherogenesis, but the interaction between MIF and B cells in atherogenesis is unknown. Here, we investigated the atherosclerotic phenotype of Mif-gene deletion in Apoe-/- mice. Apoe-/- Mif-/- mice fed a Western diet exhibited strongly reduced atherosclerotic lesions in brachiocephalic artery (BC) and abdominal aorta compared with controls. This phenotype was accompanied by reduced circulating B cells. Flow cytometry revealed a B-cell developmental defect with increased premature and immature B-cell counts in bone marrow (BM) of Apoe-/- Mif-/- mice and diminished B-cell numbers in spleen. This finding was linked with a decreased expression of Baff-R and differentiation-driving transcription factors at the immature B-cell stage, whereas peritoneal B cells exhibited unchanged CD80 and CD86 expression but vastly decreased CD9 and elevated CD23 levels, indicating that the developmental block favors the generation of immature, egressing, and reactive B cells. Mif deficiency did not affect absolute B-cell numbers in the vessel wall but favored a relative increase of B cells in the atheroprone BC region and the appearance of periadventitial B-cell-rich clusters. Of note, Mif-/- mice exhibited a significant increase in oxidized low-density lipoprotein (oxLDL)-specific antibodies after the injection of oxLDL, indicating that Mif deficiency is associated with higher sensitivity of B cells against natural-occurring antigens such as oxLDL. Importantly, Apoe-/- mice adoptively transplanted with Apoe-/-Mif-/- BM showed reduced peripheral B cells compared with Apoe-/- BM transplantation but no atheroprotection in the BC; also, whereas there was a selective increase in atheroprotective IgM-anti-oxLDL-antibodies in global Mif deficiency, BM-specific Mif deficiency also led to elevated proatherogenic anti-oxLDL-IgG. Together, these findings reveal a novel link between MIF and B cells in atherogenesis. Protection from atherosclerosis by Mif deficiency is associated with enhanced B-cell hypersensitivity, which in global but not BM-restricted Mif deficiency favors an atheroprotective autoantibody profile in atherosclerotic mice. Targeting MIF may induce protective B-cell responses in atherosclerosis.-Schmitz, C., Noels, H., El Bounkari, O., Straussfeld, E., Megens, R. T. A., Sternkopf, M., Alampour-Rajabi, S., Krammer, C., Tilstam, P. V., Gerdes, N., Bürger, C., Kapurniotu, A., Bucala, R., Jankowski, J., Weber, C., Bernhagen, J. Mif-deficiency favors an atheroprotective autoantibody phenotype in atherosclerosis.",NA,NA,NA
29582780,1,"Compromises in the design of a positron emission tomography (PET) insert for a magnetic resonance imaging (MRI) system should minimize the deterioration of image quality in both modalities, particularly when simultaneous demanding acquisitions are performed. In this work, the advantages of using individually read-out crystals with high-gain silicon photomultipliers (SiPMs) were studied with a small animal PET insert for a 7 T MRI system, in which the SiPM charge was transferred to outside the MRI scanner using coaxial cables. The interferences between the two systems were studied with three radio-frequency (RF) coil configurations. The effects of PET on the static magnetic field, flip angle distribution, RF noise, and image quality of various MRI sequences (gradient echo, spin echo, and echo planar imaging (EPI) at 1H frequency, and chemical shift imaging at 13C frequency) were investigated. The effects of fast-switching gradient fields and RF pulses on PET count rate were studied, while the PET insert and the readout electronics were not shielded. Operating the insert inside a 1H volume coil, used for RF transmission and reception, limited the MRI to T1-weighted imaging, due to coil detuning and RF attenuation, and resulted in significant PET count loss. Using a surface receive coil allowed all tested MR sequences to be used with the insert, with 45-59% signal-to-noise ratio (SNR) degradation, compared to without PET. With a 1H/13C volume coil inside the insert and shielded by a copper tube, the SNR degradation was limited to 23-30% with all tested sequences. The insert did not introduce any discernible distortions into images of two tested EPI sequences. Use of truncated sinc shaped RF excitation pulses and gradient field switching had negligible effects on PET count rate. However, PET count rate was substantially affected by high-power RF block pulses and temperature variations due to high gradient duty cycles.",NA,NA,NA
29626112,1,"Alzheimer's disease (AD) is currently incurable, but there is general agreement that a minimally invasive blood biomarker for screening in preclinical stages would be crucial for future therapy. Diagnostic tools for detection of AD are either invasive like cerebrospinal fluid (CSF) biomarkers or expensive such as positron emission tomography (PET) scanning. Here, we determine the secondary structure change of amyloid-β (Aβ) in human blood. This change used as blood amyloid biomarker indicates prodromal AD and correlates with CSF AD biomarkers and amyloid PET imaging in the cross-sectional BioFINDER cohort. In a further population-based longitudinal cohort (ESTHER), the blood biomarker detected AD several years before clinical diagnosis in baseline samples with a positive likelihood ratio of 7.9; that is, those who were diagnosed with AD over the years were 7.9 times more likely to test positive. This assay may open avenues for blood screening of early AD stages as a funnel for further more invasive and expensive tests.",NA,NA,NA
29627496,1,"Pancreatic ductal adenocarcinoma (PDA) has poor therapeutic options. Recent patient studies indicate that cholesterol-lowering statins have anti-tumor capacities. We examined several established and primary PDA and normal cell lines as well as PDA patient tissues (n = 68). We found that simvastatin inhibited viability, stemness, tumor growth and metastasis and that it enhanced the efficacy of gemcitabine. These changes were associated with modulation of Shh-related gene expression. Overexpression of Shh prevented the anti-cancer effect of simvastatin, and inhibition of Shh mimicked the simvastatin effect. In PDA tissues, expression levels of Shh, downstream mediators of Shh and progression markers, namely, cMet, CxCR4 and Vimentin, were lower when patients were prescribed statin medication prior to surgery. These results suggested that statins are cost effective and well-tolerated drugs for prevention and co-treatment of PDA.",NA,NA,NA
29629940,1,"Historically, measles incidence has shown clear seasonal patterns driven by the school calendar, but since the start of mass vaccination in developed countries there are only occasional outbreaks, which may have changed the effect of school vacations on transmission. In 2013-2014, a large measles epidemic took place in a low vaccination coverage area in The Netherlands, allowing us to quantify current-day measles transmission and the effect of school vacations.",BACKGROUND,NA,NA
29629940,2,"We fitted a dynamic transmission model to notification and hospitalization time series data of the Dutch 2013-2014 measles epidemic. Our primary aim was to estimate the reduction in contact rate during school vacations and the number of cases averted due to the vacation. In addition, because the summer vacations were time-staggered in three regions, we could distinguish within-region from across-region effects of school vacations.",METHODS,NA,NA
29629940,3,"We estimated a 53% (95% credible interval: 45%, 60%) reduction in contact rate during school vacations, resulting in 4900 (3400-7100) averted cases (estimated outbreak size: 16,600 [12,600-23,200]). There was a shift from mainly local transmission during school term to mainly cross-regional transmission during vacations. With seroprevalence data, we derived a current-day estimate of 15 to 27 for R0 (number of secondary cases per primary case in a susceptible population).",RESULTS,NA,NA
29629940,4,"School vacations are associated with greatly reduced overall measles transmission. However, transmission is not eliminated, and increased long-distance travel may even promote spread to other areas. Therefore, we estimate that school closure is unlikely to prevent measles epidemics unless there are still few cases and the community is well vaccinated.",CONCLUSIONS,NA,NA
29670618,1,"Notwithstanding its beneficial immunoprophylactic outcomes regarding leprosy and childhood TB, BCG vaccination may cause adverse events, particularly of the skin. However, this local hyper-immune reactivity cannot be predicted before vaccination, nor is its association with protection against leprosy known. In this study we investigated the occurrence of adverse events after BCG (re)vaccination in contacts of leprosy patients and analyzed whether the concomitant systemic anti-mycobacterial immunity was associated with these skin manifestations.",Background,NA,NA
29670618,2,"Within a randomized controlled BCG vaccination trial in Bangladesh, 14,828 contacts of newly diagnosed leprosy patients received BCG vaccination between 2012 and 2017 and were examined for adverse events 8 to 12 weeks post-vaccination. From a selection of vaccinated contacts, venous blood was obtained at follow-up examination and stimulated with Mycobacterium leprae (M. leprae) antigens in overnight whole-blood assays (WBA). M. leprae phenolic glycolipid-I-specific antibodies and 32 cytokines were determined in WBAs of 13 individuals with and 13 individuals without adverse events after vaccination.",Methods,NA,NA
29670618,3,"Out of the 14,828 contacts who received BCG vaccination, 50 (0.34%) presented with adverse events, mainly (80%) consisting of skin ulcers. Based on the presence of BCG scars, 30 of these contacts (60%) had received BCG in this study as a booster vaccination. Similar to the pathological T-cell immunity observed for tuberculoid leprosy patients, contacts with adverse events at the site of BCG vaccination showed elevated IFN-γ levels in response to M. leprae-specific proteins in WBA. However, decreased levels of sCD40L in serum and GRO (CXCL1) in response to M. leprae simultaneously indicated less T-cell regulation in these individuals, potentially causing uncontrolled T-cell immunity damaging the skin.",Results,NA,NA
29670618,4,"Skin complications after BCG vaccination present surrogate markers for protective immunity against leprosy, but also indicate a higher risk of developing tuberculoid leprosy.",Conclusion,NA,NA
29670618,5,Netherlands Trial Register: NTR3087.,Clinical Trial Registration,NTR,NTR3087
29702594,1,"Background: The aim of this paper is to analyze the co-occurrence of health risk behaviors (HRBs), namely, tobacco smoking, alcohol risk drinking, overeating, and physical inactivity, as well as their 16 combinations (patterns), which are stratified by age and gender. Methods: The data of 19,294 study participants, from a telephone survey among the adult general population of Germany that was conducted in 2012, were analyzed. Results: In adults, two or more of the four HBRs were found among 51.5% of females and 61.9% of males. The single most prevalent HRB pattern among all of the female (20.7, 19.6⁻21.8%) and male participants (18.2, 17.1⁻19.3%) was being overweight combined with a lack of physical activity, and its prevalence increased by 4% with each year of life. A multinomial regression analysis revealed that education was inversely associated with 11 of the 15 HRB patterns. The risk of having four, compared to zero, HRBs was 3.3 (2.5⁻4.4) for males relative to females. Conclusion: Similar to the findings from other western countries, the majority of the participants in this adult national sample from Germany had two or more HRBs. The most common of all possible HRB patterns was overweight and inactivity. The data confirm inverse relations between education and most HRB patterns.",NA,NA,NA
29728748,1,"An acute coronary syndrome (ACS) is characterized by a multi-level inflammatory response, comprising activation of bone marrow and spleen accompanied by augmented release of leukocytes into the circulation. The duration of this response after an ACS remains unclear. Here, we assessed the effect of an ACS on the multi-level inflammatory response in patients both acutely and after 3 months.",PURPOSE,NA,NA
29728748,2,"We performed 18F-DPA-714 PET/CT acutely and 3 months post-ACS in eight patients and eight matched healthy controls. DPA-714, a PET tracer binding the TSPO receptor and highly expressed in myeloid cells, was used to assess hematopoietic activity. We also characterized circulating monocytes and hematopoietic stem and progenitor cells (HSPCs) by flow cytometry in 20 patients acutely and 3 months post-ACS and in 19 healthy controls.",METHODS,NA,NA
29728748,3,"In the acute phase, patients displayed a 1.4-fold and 1.3-fold higher 18F-DPA-714 uptake in, respectively, bone marrow (p = 0.012) and spleen (p = 0.039) compared with healthy controls. This coincided with a 2.4-fold higher number of circulating HSPCs (p = 0.001). Three months post-ACS, 18F-DPA-714 uptake in bone marrow decreased significantly (p = 0.002), but no decrease was observed for 18F-DPA-714 uptake in the spleen (p = 0.67) nor for the number of circulating HSPCs (p = 0.75).",RESULTS,NA,NA
29728748,4,"18F-DPA-714 PET/CT reveals an ACS- triggered hematopoietic organ activation as initiator of a prolonged cellular inflammatory response beyond 3 months, characterized by a higher number of circulating leukocytes and their precursors. This multi-level inflammatory response may provide an attractive target for novel treatment options aimed at reducing the high recurrence rate post-ACS.",CONCLUSIONS,NA,NA
29845427,1,"Intraoperative fluorescence imaging (FI) is a promising technique that could potentially guide oncologic surgeons toward more radical resections and thus improve clinical outcome. Despite the increase in the number of clinical trials, fluorescent agents and imaging systems for intraoperative FI, a standardized approach for imaging system performance assessment and post-acquisition image analysis is currently unavailable.",PURPOSE,NA,NA
29845427,2,"We conducted a systematic, controlled comparison between two commercially available imaging systems using a novel calibration device for FI systems and various fluorescent agents. In addition, we analyzed fluorescence images from previous studies to evaluate signal-to-background ratio (SBR) and determinants of SBR.",PROCEDURES,NA,NA
29845427,3,"Using the calibration device, imaging system performance could be quantified and compared, exposing relevant differences in sensitivity. Image analysis demonstrated a profound influence of background noise and the selection of the background on SBR.",RESULTS,NA,NA
29845427,4,"In this article, we suggest clear approaches for the quantification of imaging system performance assessment and post-acquisition image analysis, attempting to set new standards in the field of FI.",CONCLUSIONS,NA,NA
29845754,1,"Several studies on hard tissue laser ablation demonstrated that ultrafast lasers enable precise material removal without thermal side effects. Although the principle ablation mechanisms have been thoroughly investigated, there are still open questions regarding the influence of material properties on transient dynamics. In this investigation, we applied pump-probe microscopy to record ablation dynamics of biomaterials with different tensile strengths (dentin, chicken bone, gallstone and kidney stones) at delay times between 1 picosecond and 10 microseconds. Transient reflectivity changes, pressure and shock wave velocities and elastic constants were determined. The result revealed that absorption and excitation show the typical well-known transient behavior of dielectric materials. We observed for all samples a photomechanical laser ablation process, where ultrafast expansion of the excited volume generates pressure waves leading to fragmentation around the excited region. In addition, we identified tensile-strength-related differences in the size of ablated craters and ejected particles. The elastic constants derived were in agreement with literature values. In conclusion, pressure-wave-assisted material removal seems to be a general mechanism for hard tissue ablation with ultrafast lasers. This photomechanical process increases ablation efficiency and removes heated material, thus ultrafast laser ablation is of interest for clinical application where heating of the tissue must be avoided.",NA,NA,NA
29907460,1,"Atypical hemolytic uremic syndrome (aHUS) is a rare, genetic, life-threatening disease. The Global aHUS Registry collects real-world data on the natural history of the disease. Here we characterize end-stage renal disease (ESRD)-free survival, the rate of thrombotic microangiopathy, organ involvement and the genetic background of 851 patients in the registry, prior to eculizumab treatment. A sex-specific difference was apparent according to age at initial disease onset as the ratio of males to females was 1.3:1 for childhood presentation and 1:2 for adult presentation. Complement Factor I and Membrane Cofactor Protein mutations were more common in patients with initial presentation as adults and children, respectively. Initial presentation in childhood significantly predicted ESRD risk (adjusted hazard ratio 0.55 [95% confidence interval 0.41-0.73], whereas sex, race, family history of aHUS, and time from initial presentation to diagnosis, did not. Patients with a Complement Factor H mutation had reduced ESRD-free survival, whereas Membrane Cofactor Protein mutation was associated with longer ESRD-free survival. Additionally extrarenal organ manifestations occur in 19%-38% of patients within six months of initial disease presentation (dependent on organ). Thus, our real-world results provide novel insights regarding phenotypic variables and genotypes on the clinical manifestation and progression of aHUS.",NA,NA,NA
29913001,1,"Calcineurin inhibitors are an established first-line corticosteroid-sparing therapy for patients with corticosteroid-dependent nephrotic syndrome (CDNS), whereas B-lymphocyte-depleting therapy is mostly used as a rescue for calcineurin inhibitor-resistant cases. The positive efficacy and safety profile of rituximab raises the question of whether it could be used as a first-line alternative to calcineurin inhibitor therapy.",Importance,NA,NA
29913001,2,To compare the efficacy of rituximab and tacrolimus in maintaining relapse-free survival among children with CDNS.,Objective,NA,NA
29913001,3,"A parallel-arm, open-label, randomized clinical trial was performed from May 8, 2015, to September 20, 2016, with 1-year follow-up in a single-center, tertiary care unit. A total of 176 consecutive children aged 3 to 16 years with CDNS not previously treated with corticosteroid-sparing agents were screened for eligibility.","Design, Setting, and Participants",NA,NA
29913001,4,The children received either tacrolimus (along with tapering alternate-day prednisolone) for 12 months or a single course of rituximab (2 infusions of 375 mg/m2).,Interventions,NA,NA
29913001,5,Twelve-month relapse-free survival in the intention-to-treat population.,Main Outcomes and Measures,NA,NA
29913001,6,"Of the 176 children screened for eligibility, 120 were randomized and all but 3 patients completed 1 year of follow-up. The groups were comparable, with mean (SD) age of 7.2 (2.8) years, 32 boys (53.3%) in each group, mean (SD) disease duration of 2.5 (1.5) years and 2.3 (1.7) in the tacrolimus and rituximab groups, respectively, disease duration less than 1 year among 15 children (25.0%) in each group, median (interquartile range) of 4 (3-5) relapses in each group, and mean (SD) cumulative prednisolone dose of 246 (48) mg/kg and 239 (52) mg/kg in the prestudy year in the tacrolimus and rituximab groups, respectively. Rituximab therapy was associated with a higher 12-month relapse-free survival rate than tacrolimus (54 [90.0%] vs 38 [63.3%] children; P < .001; odds ratio, 5.21; 95% CI, 1.93-14.07). Among the patients who experienced relapse, median time to first relapse was 40 weeks in the rituximab group and 29 weeks in the tacrolimus group. Only 2 patients in the rituximab group had more than 1 relapse during the study period compared with 10 patients in the tacrolimus group. The cumulative corticosteroid dose during the 12-month study period was lower with rituximab compared with tacrolimus (mean [SD], 25.8 [27.8] vs 86.3 [58.0] mg/kg). Although both treatments were well tolerated, mild to moderate infections were twice as common in the tacrolimus group (26 [43.3%] vs 13 [21.7%] events).",Results,NA,NA
29913001,7,"In children with CDNS, rituximab appears to be more effective than tacrolimus in maintaining disease remission and minimizing corticosteroid exposure and, given its good tolerability and lack of nephrotoxic effects, may be considered as first-line corticosteroid-sparing therapy.",Conclusions and Relevance,NA,NA
29913001,8,ClinicalTrials.gov Identifier: NCT02438982; Clinical Trial Registry of India: CTRI/2014/01/004355.,Trial Registration,ClinicalTrials.gov,NCT02438982
29913001,8,ClinicalTrials.gov Identifier: NCT02438982; Clinical Trial Registry of India: CTRI/2014/01/004355.,Trial Registration,CTRI,CTRI/2014/01/004355
29939304,1,"Quality of life (QoL) is an important outcome in chronic kidney disease (CKD). Patients feel that symptoms are an important determinant of QoL. However, this relation is unknown. The aims of this study were to investigate the impact of the number and severity of symptoms on QoL in elderly pre-dialysis patients, assessed by both the effect of symptoms and their importance relative to kidney function, and other clinical variables on QoL.",BACKGROUND,NA,NA
29939304,2,"The European Quality study (EQUAL study) is an ongoing European prospective follow-up study in late Stage 4/5 CKD patients aged ≥65 years. We used patients included between March 2012 and December 2015. Patients scored their symptoms with the Dialysis Symptom Index, and QoL with the research and development-36 (RAND-36) item Health Survey (RAND-36). The RAND-36 results in a physical component summary (PCS) and a mental component summary (MCS). We used linear regression to estimate the relation between symptoms and QoL at baseline and after 6 months, and to calculate the variance in QoL explained by symptoms.",METHODS,NA,NA
29939304,3,"The baseline questionnaire was filled in by 1079 (73%) patients (median age 75 years, 66% male, 98% Caucasian), and the follow up questionnaire by 627 (42%) patients. At baseline, every additional symptom changed MCS with -0.81 [95% confidence interval (CI): -0.91 to -0.71] and PCS with -0.50 (95% CI: -0.62 to -0.39). In univariable analyses, number of symptoms explained 22% of MCS variance and 11% of PCS variance, whereas estimated glomerular filtration rate only explained 1%.",RESULTS,NA,NA
29939304,4,"In elderly CKD Stage 4/5 patients, symptoms have a substantial impact on QoL. This indicates symptoms should have a more prominent role in clinical decision-making.",CONCLUSIONS,NA,NA
29939495,1,"""Metabotyping"" describes the grouping of metabolically similar individuals. We aimed to identify valid metabotypes in a large cohort for targeted dietary intervention, for example, for disease prevention.",SCOPE,NA,NA
29939495,2,"We grouped 1729 adults aged 32-77 years of the German population-based KORA F4 study (2006-2008) using k-means cluster analysis based on 34 biochemical and anthropometric parameters. We identified three metabolically distinct clusters showing significantly different biochemical parameter concentrations. Cardiometabolic disease status was determined at baseline in the F4 study and at the 7 year follow-up termed FF4 (2013/2014) to compare disease prevalence and incidence between clusters. Cluster 3 showed the most unfavorable marker profile with the highest prevalence of cardiometabolic diseases. Also, disease incidence was higher in cluster 3 compared to clusters 2 and 1, respectively, for hypertension (41.2%/25.3%/18.2%), type 2 diabetes (28.3%/5.1%/2.0%), hyperuricemia/gout (10.8%/2.3%/0.7%), dyslipidemia (19.2%/18.3%/5.6%), all metabolic (54.5%/36.8%/19.7%), and all cardiovascular (6.3%/5.5%/2.3%) diseases together.",METHODS AND RESULTS,NA,NA
29939495,3,"Cluster analysis based on an extensive set of biochemical and anthropometric parameters allows the identification of comprehensive metabotypes that were distinctly different in cardiometabolic disease occurrence. As a next step, targeted dietary strategies should be developed with the goal of preventing diseases, especially in cluster 3.",CONCLUSION,NA,NA
29940968,1,A marked decline in malaria morbidity and mortality has been reported after the introduction of artemisinin-based combination therapy (ACT) in high malaria prevalence countries in Africa. Data on the impact of ACT and on the prevalence of malaria has so far been scarce for Southwest Tanzania.,BACKGROUND,NA,NA
29940968,2,"Between 2005 and 2011, a large general population cohort in the Mbeya Region in the south-west of Tanzania has been surveyed within the EMINI-study (Evaluation and Monitoring of the Impact of New Interventions). Participants were examined once per year, including rapid diagnostic testing for malaria. ACT was introduced in the region according to national guidelines in the time period 2006/2007, replacing sulfadoxine/pyrimethamine as first-line therapy. In four study sites, 6773 individuals who participated in the first two of three consecutive survey visits in the period from 2006 to 2009 were included in this analysis. The prevalence of Plasmodium infection prior to and after the introduction of ACT was compared by logistic regression, with consideration of climatic variability, age, sex, socio-economic status and bed net use as potential confounders.",METHODS,NA,NA
29940968,3,"A significant reduction over time in the prevalence of Plasmodium falciparum infection from 2.5 to 0.3% was shown across the four study sites. The decline was not explained by other factors included in the analysis, therefore, the decline over time most likely reflects the impact of introduction of ACT in the study area.",RESULTS,NA,NA
29940968,4,"The longitudinal study showed a significant and relevant decline in the prevalence of P. falciparum infection after introduction of ACT, which could not be explained by potential confounders. The data suggests that artemisinin-based combinations are not only an effective instrument for reduction of immediate morbidity and mortality, but also for reduction of transmission rates.",CONCLUSIONS,NA,NA
